Species,SRR8100127,SRR8100131,SRR8100143,SRR8100147,SRR8100150,SRR8100152,SRR8100156,SRR8100160,SRR8100161,SRR8100165,SRR8100169,SRR8100173,SRR8100177,SRR8100181,SRR8100185,SRR8100187,SRR8100194,SRR8100198,SRR8100204,SRR8100208,SRR8100214,SRR8100216,SRR8100218,SRR8100223,SRR8100228,SRR8100229,SRR8100233,SRR8100243,SRR8100247,SRR8100249,SRR8100253,SRR8100257,SRR8100262,SRR8100266,SRR8100270,SRR8100274,SRR8100277,SRR8100280,SRR8100284,SRR8100289,SRR8100293,SRR8100297,SRR8100303,SRR8100307,SRR8100311,SRR8100315,SRR8100320,SRR8100324,SRR8100326,SRR8100328,SRR8100332,SRR8100336,SRR8100340,SRR8100350,SRR8100352,SRR8100356,SRR8100363,SRR8100367,SRR8100369,SRR8100371,SRR8100373,SRR8100377,SRR8100381,SRR8100383,SRR8100387,SRR8100394,SRR8100398,SRR8100400,SRR8100403,SRR8100407,SRR8100412,SRR8100415,SRR8100419,SRR8100421,SRR8100423,SRR8100427,SRR8100434,SRR8100438,SRR8100442,SRR8100446,SRR8100450,SRR8100454,SRR8100456,SRR8100458,SRR8100462,SRR8100465,SRR8100469,SRR8100473,SRR8100477,SRR8100481,SRR8100483,SRR8100486,SRR8100490,SRR8100498,SRR8100502,SRR8100508,SRR8100512,SRR8100517,SRR8100520,SRR8100521,SRR8100524,SRR8100529,SRR8100531,SRR8100535,SRR8100546,SRR8100550,SRR8100554,SRR8100555,SRR8100558,SRR7142468,SRR7142469,SRR7142470,SRR7142478,SRR7142479,SRR7142486,SRR7142487,SRR7142490,SRR7142491,SRR7142492,SRR7142493,SRR7142494,SRR7142495,SRR7142503,SRR7142504,SRR7142508,SRR7142511,SRR7142512,SRR7142513,SRR7142518,SRR7142524,SRR7142471,SRR7142472,SRR7142473,SRR7142474,SRR7142475,SRR7142489,SRR7142496,SRR7142501,SRR7142509,SRR7142510,SRR7142514,SRR7142515
ASV_000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000047,26,143,0,31,218,279,121,36,0,46,135,69,53,0,165,14,23,162,0,67,0,0,100,0,146,61,257,39,0,0,69,72,0,260,0,27,469,0,95,369,0,685,32,146,1286,157,344,119,42,17,16,79,466,100,25,0,109,228,24,0,303,66,0,44,347,204,43,151,125,0,32,32,70,0,43,0,922,0,357,0,25,141,65,23,648,505,0,137,0,379,938,864,573,0,62,237,195,0,40,45,76,60,288,50,0,27,51,0,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000049,353,205,112,30,541,411,939,298,502,461,0,157,44,0,988,24,352,62,349,130,140,14,260,378,1151,518,565,658,0,395,173,0,1068,76,192,760,20,149,237,102,161,31,613,312,320,766,338,393,110,409,560,455,380,106,252,160,427,171,475,0,333,365,1009,239,1102,1010,292,651,0,172,439,1173,93,0,206,146,0,248,1049,165,90,83,112,244,286,376,0,129,334,149,572,0,265,0,1872,277,287,608,220,291,99,510,0,167,0,121,248,430,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000061,13,0,56,224,10,44,110,3,0,0,88,18,7,0,37,0,0,47,29,4,0,4,30,3,5,5,4,7,0,2,0,0,64,0,13,6,6,0,29,0,69,15,0,24,0,11,0,0,6,0,8,15,28,62,45,0,4,9,161,0,30,30,5,96,35,9,17,37,19,97,0,0,0,0,0,44,71,5,14,0,17,12,0,3,7,3,6,9,0,0,0,164,18,0,61,0,9,0,0,0,118,10,21,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000070,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_000076,43,21,0,54,31,99,125,71,0,39,0,51,33,0,106,0,31,0,28,0,708,0,0,363,90,32,0,44,0,0,0,110,290,0,182,0,736,155,78,124,0,374,0,90,105,220,0,0,53,60,99,708,211,79,0,594,0,80,43,0,48,62,117,0,127,105,61,185,0,19,39,36,34,0,53,20,445,84,62,49,41,27,152,0,66,45,1010,101,0,225,163,0,193,0,55,34,27,301,76,42,195,43,112,0,0,84,223,21,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
